iter	Passed	Remaining
444	1208	1506
445	1210	1504
446	1213	1501
447	1216	1498
448	1218	1495
449	1221	1492
450	1224	1490
451	1226	1487
452	1229	1484
453	1231	1481
454	1234	1478
455	1237	1476
456	1240	1473
457	1242	1470
458	1245	1468
459	1248	1465
460	1250	1462
461	1253	1459
462	1255	1456
463	1258	1453
464	1261	1450
465	1263	1448
466	1266	1445
467	1268	1442
468	1271	1439
469	1274	1436
470	1276	1434
471	1279	1431
472	1282	1429
473	1285	1426
474	1288	1424
475	1291	1421
476	1294	1419
477	1296	1416
478	1299	1413
479	1302	1410
480	1304	1408
481	1307	1405
482	1310	1402
483	1312	1399
484	1315	1396
485	1318	1394
486	1320	1391
487	1323	1388
488	1326	1385
489	1328	1383
490	1331	1380
491	1334	1377
492	1336	1374
493	1339	1371
494	1341	1369
495	1344	1366
496	1347	1363
497	1349	1360
498	1352	1357
499	1354	1354
500	1357	1352
501	1360	1349
502	1362	1346
503	1365	1343
504	1367	1340
505	1370	1337
506	1373	1335
507	1375	1332
508	1378	1329
509	1380	1326
510	1383	1323
511	1386	1321
512	1388	1318
513	1391	1315
514	1393	1312
515	1396	1309
516	1399	1307
517	1401	1304
518	1404	1301
519	1406	1298
520	1409	1295
521	1411	1292
522	1414	1290
523	1417	1287
524	1420	1284
525	1422	1282
526	1425	1279
527	1428	1276
528	1431	1274
529	1434	1272
530	1437	1269
531	1440	1266
532	1442	1264
533	1445	1261
534	1448	1258
535	1451	1256
536	1453	1253
537	1456	1250
538	1458	1247
539	1461	1244
540	1463	1242
541	1466	1239
542	1469	1236
543	1471	1233
544	1475	1231
545	1478	1229
546	1481	1226
547	1483	1224
548	1486	1221
549	1489	1218
550	1491	1215
551	1494	1212
552	1497	1210
553	1499	1207
554	1502	1204
555	1505	1201
556	1507	1199
557	1510	1196
558	1513	1193
559	1515	1191
560	1518	1188
561	1521	1185
562	1523	1182
563	1526	1179
564	1529	1177
565	1531	1174
566	1534	1171
567	1536	1168
568	1539	1166
569	1541	1163
570	1544	1160
571	1546	1157
572	1549	1154
573	1552	1151
574	1554	1149
575	1557	1146
576	1559	1143
577	1562	1140
578	1565	1138
579	1567	1135
580	1570	1132
581	1572	1129
582	1575	1126
583	1578	1124
584	1580	1121
585	1583	1118
586	1585	1115
587	1588	1113
588	1591	1110
589	1593	1107
590	1596	1104
