iter	RMSE
0	22.95286956
1	22.30597717
2	21.64247919
3	20.97255022
4	20.32184994
5	19.69315705
6	19.09423509
7	18.54257331
8	17.95684919
9	17.42901939
10	16.88405401
11	16.41554564
12	15.91495138
13	15.42248386
14	14.9743299
15	14.53440693
16	14.13131701
17	13.75232654
18	13.38736147
19	13.03421026
20	12.67644318
21	12.34639296
22	12.02618001
23	11.7393805
24	11.484602
25	11.22125065
26	10.95541132
27	10.71605275
28	10.46163004
29	10.25000217
30	10.04255976
31	9.823089085
32	9.617674551
33	9.416191222
34	9.223741001
35	9.043868851
36	8.898584719
37	8.761017579
38	8.639385959
39	8.502648918
40	8.365385432
41	8.237104801
42	8.122630714
43	7.997414655
44	7.882424447
45	7.792398996
46	7.701676946
47	7.594668659
48	7.5106829
49	7.408953563
50	7.335622007
51	7.235256994
52	7.163362864
53	7.080734322
54	6.996268337
55	6.915083812
56	6.852366052
57	6.793188802
58	6.716076258
59	6.655535695
60	6.576992052
61	6.514357559
62	6.456229288
63	6.396338511
64	6.327439294
65	6.286470625
66	6.241890444
67	6.187542994
68	6.137380035
69	6.086973881
70	6.044251425
71	6.009261565
72	5.974414891
73	5.92189679
74	5.869742833
75	5.834994229
76	5.813296366
77	5.773536714
78	5.735810381
79	5.701767684
80	5.666377835
81	5.636697194
82	5.6002081
83	5.568451383
84	5.538481314
85	5.51869254
86	5.49763511
87	5.452970014
88	5.430914907
89	5.411120095
90	5.390275469
91	5.367760789
92	5.335663608
93	5.318907168
94	5.294686729
95	5.266825959
96	5.249614266
97	5.220297181
98	5.200094918
99	5.183439318
100	5.164575285
101	5.131605299
102	5.10081117
103	5.083381707
104	5.059686845
105	5.043322591
106	5.0169321
107	4.989092854
108	4.974153681
109	4.960271931
110	4.927712543
111	4.897111364
112	4.87734258
113	4.862627667
114	4.841661258
115	4.821030546
116	4.805797336
117	4.792102242
118	4.777925649
119	4.756633791
120	4.743592621
121	4.728722176
122	4.716274314
123	4.685850328
124	4.672910999
125	4.656933244
126	4.644227485
127	4.630478018
128	4.619182176
129	4.608485299
130	4.586533956
131	4.567924121
132	4.556480474
133	4.540561996
134	4.525110156
135	4.492245663
136	4.469432011
137	4.440841398
138	4.424452321
139	4.414351472
140	4.403677267
141	4.393312289
142	4.376973781
143	4.365335563
144	4.355811482
145	4.341022369
146	4.328672934
147	4.319937474
148	4.311397899
149	4.302701299
150	4.294408342
151	4.285775602
152	4.275799832
153	4.256154795
154	4.234578438
155	4.225256602
156	4.215314836
157	4.207988036
158	4.187073027
159	4.178527428
160	4.171696973
161	4.163733272
162	4.143192089
163	4.123166006
164	4.104185533
165	4.084257361
166	4.076125818
167	4.065134665
168	4.049971859
169	4.042469906
170	4.03016142
171	4.012171621
172	3.991723358
173	3.985267149
174	3.978780462
175	3.965629553
176	3.960925488
177	3.951687785
178	3.944497019
179	3.936115313
180	3.922226558
181	3.904994427
182	3.897279421
183	3.880079425
184	3.867212544
185	3.850527251
186	3.82959689
187	3.816672833
188	3.809869525
189	3.804056238
190	3.793340786
191	3.786053751
192	3.780285775
193	3.773681872
194	3.762750534
195	3.748212979
196	3.737881787
197	3.72907863
198	3.72474959
199	3.708360291
200	3.695044524
201	3.678467456
202	3.666525615
203	3.65352902
204	3.641901958
205	3.624207176
206	3.609863998
207	3.602724423
208	3.592252828
209	3.585785099
210	3.581721245
211	3.565095247
212	3.554196521
213	3.542766029
214	3.529883845
215	3.515511985
216	3.504132054
217	3.498915242
218	3.483781257
219	3.477760993
220	3.465232475
221	3.458350096
222	3.446442728
223	3.440479288
224	3.427154328
225	3.414779796
226	3.411589472
227	3.406613048
228	3.402536512
229	3.397936261
230	3.39321976
231	3.388907669
232	3.384817634
233	3.379064641
234	3.363293659
235	3.344490963
236	3.33833878
237	3.323571084
238	3.310266978
239	3.298278528
240	3.283599608
241	3.280171086
242	3.261214864
243	3.257114217
244	3.243539617
245	3.238295477
